ustt,utc,lon,lat,height
1425004706,1.69512392300025E+018,54497848,514063250,68386
1425504706,1.69512392350025E+018,54498024,514062851,68218
1426004669,1.69512392400025E+018,54498096,514062414,67946
1426504670,1.69512392450025E+018,54498062,514061946,67608
1427004632,1.69512392500025E+018,54497925,514061452,67277
1427504633,1.69512392550025E+018,54497685,514060937,66936
1428004596,1.69512392600025E+018,54497336,514060414,66634
1428504597,1.69512392650025E+018,54496861,514059897,66351
1429004559,1.69512392700025E+018,54496248,514059404,66051
1429504560,1.69512392750025E+018,54495496,514058953,65774
1430004523,1.69512392800026E+018,54494616,514058555,65516
1430504523,1.69512392850026E+018,54493623,514058224,65309
1431004486,1.69512392900026E+018,54492532,514057960,65140
1431504487,1.69512392950026E+018,54491355,514057757,65003
1432004449,1.69512393000026E+018,54490105,514057610,64919
1432504450,1.69512393050026E+018,54488812,514057505,64979
1433004413,1.69512393100026E+018,54487492,514057415,64917
1433504414,1.69512393150026E+018,54486083,514057341,64910
1434004376,1.69512393200026E+018,54484643,514057283,64887
1434504377,1.69512393250026E+018,54483184,514057233,64816
1435004340,1.69512393300026E+018,54481700,514057193,64799
1435504340,1.69512393350026E+018,54480211,514057160,64852
1436004302,1.69512393400026E+018,54478699,514057125,64800
1436504303,1.69512393450026E+018,54477192,514057086,64790
1437004266,1.69512393500026E+018,54475675,514057054,64792
1437504266,1.69512393550027E+018,54474162,514057023,64724
1438004229,1.69512393600027E+018,54472645,514056994,64689
1438504230,1.69512393650027E+018,54471131,514056963,64590
1439004192,1.69512393700027E+018,54469617,514056937,64514
1439504193,1.69512393750027E+018,54468093,514056912,64362
1440004156,1.69512393800027E+018,54466567,514056890,64357
1440504157,1.69512393850027E+018,54465044,514056867,64318
1441004119,1.69512393900027E+018,54463520,514056840,64313
1441504120,1.69512393950027E+018,54461996,514056814,64287
1442004083,1.69512394000027E+018,54460472,514056793,64264
1442504083,1.69512394050027E+018,54458943,514056768,64265
1443004046,1.69512394100027E+018,54457415,514056742,64260
1443504047,1.69512394150027E+018,54455887,514056714,64252
1444004010,1.69512394200028E+018,54454359,514056684,64204
1444504010,1.69512394250028E+018,54452829,514056659,64197
1445003973,1.69512394300028E+018,54451292,514056635,64153
1445503974,1.69512394350028E+018,54449747,514056620,64154
1446003936,1.69512394400028E+018,54448199,514056609,64157
1446503937,1.69512394450028E+018,54446653,514056603,63990
1447003899,1.69512394500028E+018,54445106,514056593,63939
1447503900,1.69512394550028E+018,54443553,514056584,63931
1448003862,1.69512394600028E+018,54442008,514056579,63880
1448503863,1.69512394650028E+018,54440457,514056582,63889
1449003826,1.69512394700028E+018,54438901,514056591,63849
1449503826,1.69512394750028E+018,54437336,514056600,63858
